course_id,course_code,course_title,course_credits,course_grade,course_gpa,course_points,CGPA,comments
15753,SPAN102,LEVEL 2 LOWER-INTERMEDIATE SPANISH,3,C,2,6,3.17,
15775,CMPS245,DATABASE MANAGEMENT SYSTEMS I,3,C,2,6,3.17,
15797,CMPS2131,DATA STRUCTURES,3,B,3,9,3.17,
15819,MATH322,LINEAR ALGEBRA 1,3,C+,2.5,7.5,3.17,
15841,CMPS413,ADVANCED WEB TECHNOLOGIES,3,C+,2.5,7.5,3.17,
15863,CMPS318,ADVANCED PC REPAIR,3,A-,3.75,11.25,3.17,
15885,CMCN209,COMMUNICATION SKILLS,3,A-,3.75,11.25,3.17,
15907,CMPS319,SYSTEMS ENGINEERING,3,A,4,12,3.17,
15929,MGMT304,DYNAMICS OF ORG. BEHAVIOUR,3,A,4,12,3.17,
15951,CMPS142,PRINCIPLES OF PROGRAMMING I,3,A,4,12,3.17,
15973,MAT103,TRIGONOMETRY 1,3,A,4,12,3.17,
15995,MATH330,DISCRETE MATHEMATHICS,3,WP,0,0,3.17,REPEAT
16017,CMPS328,DATABASE MGMT. SYS. II,3,D+,1.5,4.5,3.17,
16039,MATH441,NUMERICAL ANALYSIS,3,W,0,0,3.17,
16061,CMPS321,TELECOMMUNICATIONS SYSTEMS,3,C,2,6,3.17,REPEAT
16083,CMPS416,COMPILER CONSTRUCTION,3,W,0,0,3.17,
16105,CMPS323,SYSTEMS ADMINISTRATION,3,A,4,12,3.17,
16127,MATH333,CALCULUS III,3,A,4,12,3.17,
16149,CMPS317,ADVANCED GUI DEVELOPMENT,3,A,4,12,3.11,
16171,MATH322,LINEAR ALGEBRA 1,3,B+,3.5,10.5,3.11,
16193,CMPS413,ADVANCED WEB TECHNOLOGIES,3,A,4,12,3.11,
16215,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,3,W,0,0,3.11,
16237,MATH203,CALCULUS II,3,D,1,3,3.11,
16259,CMPS156,DATA STRUCTURES,3,WP,0,0,3.11,
16281,CMPS413,ADVANCED WEB TECHNOLOGIES,3,B,3,9,3.11,
16303,MATH203,CALCULUS II,3,W,0,0,3.11,REPEAT
16325,CMPS317,ADVANCED GUI DEVELOPMENT,3,C,2,6,3.11,
16347,CMPS411,COMPUTER NETWORK SECURITY,3,WP,0,0,3.11,
16369,CMPS3272,SYSTEMS ENGINEERING,3,B,3,9,3.11,
16391,ENGL318,TECHNICAL WRITING.,3,RE,,,3.11,
16413,MATH322,LINEAR ALGEBRA 1,3,RE,,,3.11,
16435,MATH2201,CALCULUS II,3,A,4,12,3.11,
16457,CMPS2151,WEB DEVELOPMENT,3,A-,3.75,11.25,3.11,
16479,CMPS3012,MANAGEMENT INFORMATION SYSTEM,3,A-,3.75,11.25,3.11,
16501,CMPS316,PROGRAMMING LANGUAGES,3,RE,,,3.11,
16523,MATH203,CALCULUS II,3,RE,,,3.17,
16545,CMPS321,TELECOMMUNICATIONS SYSTEMS,3,D+,1.5,4.5,3.17,
16567,ENGL3155,TECHNICAL WRITING,3,C,2,6,3.17,
16589,MATH322,LINEAR ALGEBRA 1,3,W,0,0,0,
16611,CMPS317,ADVANCED GUI DEVELOPMENT,3,RE,,,0,
16633,CMPS321,TELECOMMUNICATIONS SYSTEMS,3,NG,,,0,
16655,ENGL2105,COMMUNICATION SKILLS,3,A,4,12,3.28,
16677,CMPS4111,DATABASE MANAGEMENT SYSTEMS II,3,A,4,12,3.28,
16699,CMPS3252,ALGORITHMS,3,F,0,0,3.28,
16721,MATH104,CALCULUS I,3,WP,0,0,3.28,
16743,CMPS321,TELECOMMUNICATIONS SYSTEMS,3,C,2,6,3.28,
16765,CMPS411,COMPUTER NETWORK SECURITY,3,C,2,6,3.28,
16787,CMPS4191,ADVANCED WEB TECHNOLOGIES,3,A-,3.75,11.25,3.28,
16809,CMPS319,SYSTEMS ENGINEERING,3,F,0,0,3.28,REPEAT
16831,MATH322,LINEAR ALGEBRA 1,3,A,4,12,3.28,
16853,MATH333,CALCULUS III,3,D+,1.5,4.5,3.28,REPEAT
16875,CMPS321,TELECOMMUNICATIONS SYSTEMS,3,D+,1.5,4.5,3.28,REPEAT
16897,MATH333,CALCULUS III,3,A-,3.75,11.25,3.28,
16919,CMPS413,ADVANCED WEB TECHNOLOGIES,3,W,0,0,3.28,
16941,CMPS314,ALGORITHMS,3,W,0,0,3.28,REPEAT
16963,CMPS416,COMPILER CONSTRUCTION,3,F,0,0,3.28,REPEAT
16985,CMPS323,SYSTEMS ADMINISTRATION,3,C,2,6,3.28,
17007,CMPS323,SYSTEMS ADMINISTRATION,3,F,0,0,3.28,REPEAT
17029,MATH202,STATISTICS 2,3,D,1,3,3.28,
17051,CMPS422,SENIOR SEMINAR IN INFORMATION TECHNOLOGY,3,C,2,6,3.28,
17073,MATH207,STATISTICS,3,D+,1.5,4.5,3.28,
17095,CMPS319,SYSTEMS ENGINEERING,3,D,1,3,3.28,REPEAT
17117,CMPS360,MANAGEMENT INFORMATION SYSTEM,3,F,0,0,3.28,REPEAT
17139,CMPS317,ADVANCED GUI DEVELOPMENT,3,F,0,0,3.28,REPEAT
17161,CMPS2131,DATA STRUCTURES,3,F,0,0,3.28,REPEAT
17183,MATH207,STATISTICS,3,D,1,3,3.28,REPEAT
17205,CMPS3131,ADVANCED GUI PROGRAMMING,3,F,0,0,3.28,REPEAT
17227,SOCL1014,INTRODUCTION TO SOCIOLOGY,3,F,0,0,3.28,
17249,CMPS1134,FUNDAMENTALS OF COMPUTING,3,NG,,,2.88,
17271,CMPS411,COMPUTER NETWORK SECURITY,3,WF,0,0,2.88,
17293,CMPS155,COMPUTER TECHNOLOGY,3,A,4,12,2.88,
17315,CMPS157,SYSTEM ANALYSIS,3,C,2,6,2.88,
17337,CMPS144,PRINCIPLES OF PROGRAMMING II,3,NG,,,2.88,
17359,CMPS142,PRINCIPLES OF PROGRAMMING I,3,A-,3.75,11.25,2.88,
17381,MATH101,ALGEBRA 1,3,C+,2.5,7.5,2.88,
17403,MATH441,NUMERICAL ANALYSIS,3,W,0,0,2.88,REPEAT
17425,CMPS323,SYSTEMS ADMINISTRATION,3,D,1,3,2.88,
17447,CMPS317,ADVANCED GUI DEVELOPMENT,3,D,1,3,2.88,
17469,MATH203,CALCULUS II,3,WF,0,0,2.88,
17491,SOCL221,INTRODUCTION TO SOCIOLOGY,3,B+,3.5,10.5,2.88,
17513,CMPS156,DATA STRUCTURES,3,WP,0,0,2.88,REPEAT
17535,MATH330,DISCRETE MATHEMATHICS,3,WF,0,0,2.88,REPEAT
17557,CMPS144,PRINCIPLES OF PROGRAMMING II,3,C,2,6,2.88,REPEAT
17579,CMPS156,DATA STRUCTURES,3,W,0,0,2.88,REPEAT
17601,CMPS244,WEB APPLICATION DEV. 1,3,C+,2.5,7.5,2.88,
17623,SPAN112,SPANISH II,3,A,4,12,2.88,
17645,PHYS241,GENERAL PHYSICS I,3,WP,0,0,2.88,
17667,CMPS156,DATA STRUCTURES,3,F,0,0,3.25,
17689,MATH203,CALCULUS II,3,F,0,0,3.25,
17711,CMPS4231,DIGITAL LOGIC & SIGNAL PROCESSING,3,A,4,12,3.25,
17733,CMPS3252,ALGORITHMS,3,A,4,12,3.25,
17755,MATH3151,LINEAR ALGEBRA,3,F,0,0,3.25,
17777,MATH3251,CALCULUS III,3,F,0,0,3.25,REPEAT
17799,CMPS323,SYSTEMS ADMINISTRATION,3,WF,0,0,3.25,
17821,PHYS241,GENERAL PHYSICS I,2,F,0,0,3.25,
17843,CMCN209,COMMUNICATION SKILLS,3,WF,0,0,3.25,
17865,CMPS213,BASIC PC REPAIR,3,F,0,0,3.25,
17887,CMPS3151,TELECOMMUNICATION,3,F,0,0,3.25,
17909,CMPS317,ADVANCED GUI DEVELOPMENT,3,F,0,0,3.25,
17931,MAT103,TRIGONOMETRY 1,3,F,0,0,3.25,
17953,PHYS241L,GENERAL PHYSICS LAB,1,C,2,2,3.25,
17975,CMPS316,PROGRAMMING LANGUAGES,3,D,1,3,3.25,
17997,CMPS319,SYSTEMS ENGINEERING,3,F,0,0,3.25,
18019,MGMT3015,ORGANIZATIONAL BEHAVIOR,3,C,2,6,3.25,
18041,GSTU101,STUDY SKILLS,1,A,4,4,3.25,
18063,MATH3025,BUSINESS STATISTICS II,3,C+,2.5,7.5,3.25,
18085,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,3,D+,1.5,4.5,3.25,REPEAT
18107,CMPS255,OBJECT ORIENTED SYSTEM DEV.,3,F,0,0,3.25,REPEAT
18129,MATH441,NUMERICAL ANALYSIS,4,C,2,8,3.25,
18151,CMPS328,DATABASE MGMT. SYS. II,3,WF,0,0,3.25,REPEAT
18173,MATH324,FUNDAMENTAL CONCEPTS OF MATH,3,F,0,0,3.25,
18195,MATH104,CALCULUS I,3,B,3,9,3.25,
18217,PHYS241,GENERAL PHYSICS I,3,WF,0,0,3.25,REPEAT
18239,CMPS156,DATA STRUCTURES,3,WF,0,0,3.25,REPEAT
18261,CMPS315,NETWORK ENGINEERING,3,C,2,6,3.25,
18283,CMPS4111,DATABASE MANAGEMENT SYSTEMS II,3,WF,0,0,3.25,REPEAT
18305,MAT103,TRIGONOMETRY 1,3,WF,0,0,3.25,REPEAT
18327,MATH121,INTERMEDIATE ALGEBRA,3,B+,3.5,10.5,3.25,
18349,CMPS332,P C REPAIR,3,D+,0,0,3.25,REPEAT
18371,CMPS245,DATABASE MANAGEMENT SYSTEMS I,3,WF,0,0,3.25,REPEAT
18393,MATH102,COMPLEX NUMBERS & VECTORS,3,D,1,3,3.25,
18415,PHYS241L,GENERAL PHYSICS LAB,1,,,,3.25,
18437,CMPS244,WEB APPLICATION DEV. 1,3,A,4,12,3.25,
18459,CMPS244,WEB APPLICATION DEV. 1,3,NG,,,3.25,
18481,CMPS242,GUI PROGRAMMING,3,AU,0,0,3.25,
18503,CMPS256,OPERATING SYSTEMS,3,WP,0,0,3.25,
18525,CMPS413,ADVANCED WEB TECHNOLOGIES,3,C,2,6,3.25,
18547,SPAN101,LEVEL 1 BEGINNING SPANISH,3,A,4,12,3.25,
18569,CMPS255,OBJECT ORIENTED SYSTEM DEV.,3,AU,0,0,3.58,
18591,CMPS144,PRINCIPLES OF PROGRAMMING II,3,AU,0,0,3.58,
18613,MATH203,CALCULUS II,3,D+,1.5,4.5,3.58,
18635,PSYC342,ADOLESCENT PSYCHOLOGY,3,B+,3.5,10.5,3.58,
18657,CMPS140,INTRODUCTION TO COMPUTER STUDIES,3,A,4,12,3.58,
18679,MATH101,ALGEBRA 1,3,B+,3.5,10.5,3.58,
18701,MATH104,CALCULUS I,3,C,2,6,3.58,
18723,MATH104,CALCULUS I,3,D,1,3,3.58,REPEAT
18745,HIST201,BELIZEAN HISTORY,3,A,4,12,3.58,
18767,CMPS3151,TELECOMMUNICATION,3,A,4,12,3.58,
18789,PSYC221,INTRO TO PSYCHOLOGY,3,D,1,3,3.58,
18811,CMPS4111,DATABASE MANAGEMENT SYSTEMS II,3,C+,2.5,7.5,3.58,
18833,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,3,F,0,0,3.58,REPEAT
18855,CMPS323,SYSTEMS ADMINISTRATION,3,WF,0,0,3.58,REPEAT
18877,CMPS1131,PROGRAMMING I,3,B+,3.5,10.5,3.58,
18899,CMPS3151,TELECOMMUNICATION,3,D,1,3,0,REPEAT
18921,CMPS3151,TELECOMMUNICATION,3,B,3,9,3.33,
18943,CMPS4231,DIGITAL LOGIC & SIGNAL PROCESSING,3,D,1,3,3.33,REPEAT
18965,MGMT3015,ORGANIZATIONAL BEHAVIOR,3,B+,3.5,10.5,3.33,
